County Name,Year,Population,# of FM Physicians,# of IM Physicians,# of P Physicians,Total Physicians,Rate Per 100000
Appling,2020,18106,3,5,1,9,49.70727935
Atkinson,2020,7971,1,0,0,1,12.54547736
Bacon,2020,11228,3,3,2,8,71.25044532
Baker,2020,2942,0,2,0,2,67.98096533
Baldwin,2020,44884,7,23,8,38,84.66268604
Banks,2020,19758,2,0,2,4,20.24496407
Barrow,2020,88052,19,6,5,30,34.07077636
Bartow,2020,110458,34,19,10,63,57.03525322
Ben Hill,2020,16456,6,1,1,8,48.61448712
Berrien,2020,19659,4,0,0,4,20.3469149
Bibb,2020,153671,84,142,47,273,177.6522571
Bleckley,2020,12977,3,2,2,7,53.94158897
Brantley,2020,19357,2,0,0,2,10.33217957
Brooks,2020,15413,1,1,0,2,12.97605917
Bryan,2020,42763,14,6,5,25,58.46175432
Bulloch,2020,84340,24,18,10,52,61.65520512
Burke,2020,22271,6,2,2,10,44.90144134
Butts,2020,26424,6,5,1,12,45.41326067
Calhoun,2020,5861,2,0,0,2,34.12386965
Camden,2020,56696,17,10,5,32,56.44137153
Candler,2020,10755,2,2,0,4,37.19200372
Carroll,2020,123982,27,36,11,74,59.68608346
Catoosa,2020,67980,26,7,7,40,58.84083554
Charlton,2020,14338,3,1,0,4,27.89789371
Chatham,2020,289958,115,144,66,325,112.0851985
Chattahoochee,2020,11521,0,0,0,0,0
Chattooga,2020,24803,6,0,0,6,24.1906221
Cherokee,2020,268491,63,55,30,148,55.12289053
Clarke,2020,130457,33,120,24,177,135.6768897
Clay,2020,2734,0,1,0,1,36.57644477
Clayton,2020,298374,44,53,24,121,40.55313131
Clinch,2020,6648,1,2,0,3,45.12635379
Cobb,2020,768283,224,283,146,653,84.994722
Coffee,2020,43709,14,11,6,31,70.92360841
Colquitt,2020,45890,24,10,4,38,82.8067117
Columbia,2020,161988,46,31,23,100,61.73296787
Cook,2020,17468,6,0,0,6,34.34852301
Coweta,2020,153531,22,43,17,82,53.40940917
Crawford,2020,12544,1,0,0,1,7.971938776
Crisp,2020,21882,4,7,7,18,82.25939128
Dade,2020,15894,1,3,1,5,31.45841198
Dawson,2020,28070,15,1,4,20,71.25044532
Decatur,2020,26066,5,3,2,10,38.36415254
DeKalb,2020,768079,250,517,395,1162,151.2865213
Dodge,2020,20229,2,7,1,10,49.43398092
Dooly,2020,12752,3,0,0,3,23.52572146
Dougherty,2020,85468,52,44,20,116,135.7233116
Douglas,2020,148981,18,40,20,78,52.35566951
Early,2020,9998,4,1,1,6,60.0120024
Echols,2020,4018,0,0,0,0,0
Effingham,2020,68432,7,7,2,16,23.38087444
Elbert,2020,19392,6,2,0,8,41.25412541
Emanuel,2020,22724,6,5,1,12,52.8076043
Evans,2020,10558,1,2,0,3,28.41447244
Fannin,2020,26602,9,8,2,19,71.42320126
Fayette,2020,116901,45,60,31,136,116.3377559
Floyd,2020,99566,66,71,17,154,154.6712733
Forsyth,2020,258770,51,49,25,125,48.30544499
Franklin,2020,23979,5,3,2,10,41.70315693
Fulton,2020,1091550,371,893,386,1650,151.1611928
Gilmer,2020,32437,8,2,2,12,36.9947899
Glascock,2020,2959,0,0,0,0,0
Glynn,2020,85926,32,24,18,74,86.12061541
Gordon,2020,58633,27,15,5,47,80.15963706
Grady,2020,24351,12,4,0,16,65.7057205
Greene,2020,19506,4,4,3,11,56.39290475
Gwinnett,2020,954076,182,236,170,588,61.63031037
