Diagnosed Diabetes; Crude; Number; Adults Aged 20+ Years; Georgia Counties; 2020
Data downloaded on 15-February-2025
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Appling County,Georgia,13001,1508,944,2184
Atkinson County,Georgia,13003,499,293,780
Bacon County,Georgia,13005,779,488,1158
Baker County,Georgia,13007,252,159,380
Baldwin County,Georgia,13009,3144,2086,4454
Banks County,Georgia,13011,1319,772,2094
Barrow County,Georgia,13013,5758,3712,8416
Bartow County,Georgia,13015,7985,5513,10737
Ben Hill County,Georgia,13017,1398,892,2038
Berrien County,Georgia,13019,1657,1020,2376
Bibb County,Georgia,13021,19090,14903,23501
Bleckley County,Georgia,13023,799,526,1246
Brantley County,Georgia,13025,1447,902,2126
Brooks County,Georgia,13027,1377,895,2018
Bryan County,Georgia,13029,2389,1520,3558
Bulloch County,Georgia,13031,6167,4519,8089
Burke County,Georgia,13033,2115,1430,2992
Butts County,Georgia,13035,2280,1365,3339
Calhoun County,Georgia,13037,489,307,732
Camden County,Georgia,13039,4008,2795,5553
Candler County,Georgia,13043,745,440,1149
Carroll County,Georgia,13045,10618,7842,14020
Catoosa County,Georgia,13047,5255,3533,7388
Charlton County,Georgia,13049,944,597,1395
Chatham County,Georgia,13051,24413,19419,29735
Chattahoochee County,Georgia,13053,356,205,574
Chattooga County,Georgia,13055,2104,1352,3152
Cherokee County,Georgia,13057,19785,14501,25793
Clarke County,Georgia,13059,8592,6450,11297
Clay County,Georgia,13061,257,157,385
Clayton County,Georgia,13063,26099,21031,31539
Clinch County,Georgia,13065,572,372,820
Cobb County,Georgia,13067,47392,38306,57007
Coffee County,Georgia,13069,3489,2340,4911
Colquitt County,Georgia,13071,3495,2306,4931
Columbia County,Georgia,13073,10409,7530,13815
Cook County,Georgia,13075,1790,1202,2483
Coweta County,Georgia,13077,11389,8144,15459
Crawford County,Georgia,13079,1048,620,1594
Crisp County,Georgia,13081,1754,1066,2606
Dade County,Georgia,13083,1010,602,1546
Dawson County,Georgia,13085,2124,1300,3094
Decatur County,Georgia,13087,2355,1663,3323
Dekalb County,Georgia,13089,61799,51860,71413
Dodge County,Georgia,13091,1958,1347,2746
Dooly County,Georgia,13093,1264,802,1870
Dougherty County,Georgia,13095,9154,6891,11795
Douglas County,Georgia,13097,13301,9280,17619
Early County,Georgia,13099,761,489,1105
Echols County,Georgia,13101,231,138,348
Effingham County,Georgia,13103,5138,3454,6978
Elbert County,Georgia,13105,1315,810,1926
Emanuel County,Georgia,13107,1887,1271,2625
Evans County,Georgia,13109,729,433,1049
Fannin County,Georgia,13111,2540,1658,3574
Fayette County,Georgia,13113,9194,6596,12031
Floyd County,Georgia,13115,10600,8020,13438
Forsyth County,Georgia,13117,17634,12658,23567
Franklin County,Georgia,13119,1534,909,2396
Fulton County,Georgia,13121,68227,57286,80286
Gilmer County,Georgia,13123,3080,2136,4202
Glascock County,Georgia,13125,209,127,314
Glynn County,Georgia,13127,8628,6348,11027
Gordon County,Georgia,13129,5116,3521,7143
Grady County,Georgia,13131,2381,1548,3304
Greene County,Georgia,13133,1735,1079,2615
Gwinnett County,Georgia,13135,66264,53581,80093
Habersham County,Georgia,13137,3417,2180,4872
Hall County,Georgia,13139,16871,12904,21600
Hancock County,Georgia,13141,834,535,1249
Haralson County,Georgia,13143,1952,1116,2901
Harris County,Georgia,13145,3919,2682,5427
Hart County,Georgia,13147,2285,1433,3252
Heard County,Georgia,13149,776,471,1198
Henry County,Georgia,13151,19869,15384,25367
Houston County,Georgia,13153,15867,12171,20492
Irwin County,Georgia,13155,644,377,954
Jackson County,Georgia,13157,4458,2856,6496
Jasper County,Georgia,13159,1059,661,1585
Jeff Davis County,Georgia,13161,906,545,1376
Jefferson County,Georgia,13163,1362,836,1936
Jenkins County,Georgia,13165,641,386,959
Johnson County,Georgia,13167,1080,701,1524
Jones County,Georgia,13169,2123,1285,3207
Lamar County,Georgia,13171,1234,715,2034
Lanier County,Georgia,13173,784,492,1197
Laurens County,Georgia,13175,5144,4102,6320
Lee County,Georgia,13177,2316,1494,3296
Liberty County,Georgia,13179,4122,2673,5694
Lincoln County,Georgia,13181,707,404,1096
Long County,Georgia,13183,1128,733,1649
Lowndes County,Georgia,13185,9671,7522,12026
Lumpkin County,Georgia,13187,2118,1316,3111
Macon County,Georgia,13193,1125,712,1768
Madison County,Georgia,13195,2339,1502,3407
Marion County,Georgia,13197,595,351,912
Mcduffie County,Georgia,13189,1834,1223,2610
Mcintosh County,Georgia,13191,1371,899,2007
