County,2013 Per Capita Personal Income,2014 Per Capita Personal Income,2015 Per Capita Personal Income,2016 Per Capita Personal Income,2017 Per Capita Personal Income,2018 Per Capita Personal Income,2019 Per Capita Personal Income,2020 Per Capita Personal Income,2021 Per Capita Personal Income,2022 Per Capita Personal Income,2022 Rank,2022 Per Capita Income as a Percent of Georgia Total,2022 Per Capita Income as a Percent of Southeast Total,2022 Per Capita Income as a Percent of U.S. Total,"2021-2022 Per Capita Income, Percent Change","2013-2022 Per Capita Income, Percent Change",2013-2022 Rank,"2022 Per Capita Net Earnings, Dollars","2022 Per Capita Dividends, Interest, and Rent, Dollars"
APPLING,"$28,633","$29,967","$31,458","$31,624","$33,085","$33,662","$35,609","$39,134","$42,693","$43,602",76,77.1%,74.2%,66.6%,2.1%,52.3%,41,"$26,479","$4,235"
ATKINSON,"$25,093","$25,902","$27,336","$26,857","$29,038","$29,212","$30,449","$32,289","$35,210","$36,622",144,64.7%,62.3%,55.9%,4.0%,45.9%,74,"$21,940","$3,138"
BACON,"$27,008","$28,250","$29,141","$29,742","$31,143","$31,302","$32,293","$37,448","$39,057","$39,972",116,70.6%,68.0%,61.1%,2.3%,48.0%,67,"$23,686","$3,767"
BAKER,"$37,748","$33,112","$33,640","$34,250","$35,424","$37,763","$40,687","$45,061","$50,236","$49,696",31,87.8%,84.6%,75.9%,-1.1%,31.7%,150,"$27,303","$7,296"
BALDWIN,"$27,729","$29,334","$30,472","$30,778","$32,387","$33,125","$34,522","$37,644","$42,144","$42,270",89,74.7%,71.9%,64.6%,0.3%,52.4%,38,"$19,646","$8,320"
BANKS,"$29,739","$31,572","$33,435","$34,037","$36,627","$37,740","$37,730","$39,236","$42,335","$45,056",56,79.6%,76.7%,68.8%,6.4%,51.5%,45,"$30,252","$5,099"
BARROW,"$30,839","$32,547","$33,793","$34,514","$36,018","$37,059","$38,359","$41,874","$45,781","$46,980",44,83.0%,79.9%,71.8%,2.6%,52.3%,40,"$32,091","$5,548"
BARTOW,"$31,428","$33,281","$34,702","$35,854","$36,745","$38,116","$40,187","$43,677","$47,617","$48,565",34,85.8%,82.6%,74.2%,2.0%,54.5%,29,"$31,375","$6,801"
BEN HILL,"$27,108","$28,032","$29,314","$28,471","$28,784","$30,300","$31,680","$35,045","$39,215","$38,598",128,68.2%,65.7%,59.0%,-1.6%,42.4%,95,"$18,325","$5,903"
BERRIEN,"$27,303","$28,228","$29,998","$30,601","$32,135","$32,668","$34,208","$37,707","$39,785","$39,871",119,70.5%,67.8%,60.9%,0.2%,46.0%,73,"$20,861","$5,219"
BIBB,"$34,173","$35,655","$36,644","$37,070","$38,312","$39,186","$39,990","$43,114","$47,550","$46,196",49,81.6%,78.6%,70.6%,-2.8%,35.2%,137,"$23,212","$8,640"
BLECKLEY,"$31,150","$31,749","$32,655","$32,148","$33,545","$34,197","$35,644","$39,434","$42,520","$41,038",104,72.5%,69.8%,62.7%,-3.5%,31.7%,149,"$21,803","$6,800"
BRANTLEY,"$23,483","$24,115","$25,922","$26,995","$27,096","$28,296","$29,019","$32,305","$35,115","$34,896",150,61.7%,59.4%,53.3%,-0.6%,48.6%,63,"$19,710","$3,183"
BROOKS,"$29,275","$30,592","$31,129","$31,335","$32,301","$33,202","$34,727","$37,748","$40,041","$39,500",122,69.8%,67.2%,60.3%,-1.3%,34.9%,138,"$20,157","$5,749"
BRYAN,"$43,312","$44,916","$46,043","$46,719","$46,815","$49,035","$48,998","$51,941","$56,017","$57,520",16,101.6%,97.9%,87.9%,2.7%,32.8%,146,"$39,742","$8,101"
BULLOCH,"$27,736","$28,415","$29,748","$30,206","$31,031","$32,008","$32,739","$35,955","$39,375","$38,397",131,67.9%,65.3%,58.6%,-2.5%,38.4%,124,"$22,681","$6,514"
BURKE,"$28,821","$30,126","$31,628","$31,574","$32,427","$32,846","$35,608","$39,461","$41,852","$40,590",110,71.7%,69.1%,62.0%,-3.0%,40.8%,107,"$23,347","$4,468"
BUTTS,"$27,802","$28,552","$30,233","$30,873","$32,430","$33,952","$35,353","$37,629","$41,252","$41,635",99,73.6%,70.8%,63.6%,0.9%,49.8%,56,"$24,794","$4,872"
CALHOUN,"$23,148","$22,518","$23,630","$25,013","$26,298","$25,973","$29,217","$32,097","$35,219","$33,901",151,59.9%,57.7%,51.8%,-3.7%,46.5%,70,"$14,970","$3,821"
CAMDEN,"$31,019","$32,017","$32,821","$34,285","$35,547","$36,043","$36,819","$39,770","$43,831","$43,622",75,77.1%,74.2%,66.6%,-0.5%,40.6%,109,"$25,742","$6,895"
CANDLER,"$26,496","$27,108","$27,873","$28,710","$30,878","$31,919","$33,913","$36,647","$40,602","$40,614",109,71.8%,69.1%,62.0%,0.0%,53.3%,33,"$21,690","$4,536"
CARROLL,"$32,039","$32,957","$34,807","$36,141","$37,493","$38,860","$40,657","$44,781","$49,127","$50,475",30,89.2%,85.9%,77.1%,2.7%,57.5%,22,"$30,376","$8,585"
CATOOSA,"$30,038","$31,046","$32,134","$32,545","$33,750","$34,783","$36,033","$38,879","$42,150","$42,316",86,74.8%,72.0%,64.6%,0.4%,40.9%,106,"$27,372","$4,676"
CHARLTON,"$21,757","$22,113","$23,076","$23,918","$25,349","$25,844","$26,609","$29,050","$30,915","$31,382",157,55.5%,53.4%,47.9%,1.5%,44.2%,87,"$17,395","$3,233"
CHATHAM,"$39,996","$41,076","$42,533","$42,440","$44,388","$46,079","$47,048","$51,366","$56,848","$56,682",18,100.2%,96.4%,86.6%,-0.3%,41.7%,101,"$32,541","$12,903"
