County,SqMiles,,,,,,,,,,,,,,,
APPLING,512.3,,,,,,,,,,,,,,,
ATKINSON,344.5,,,,,,,,,,,,,,,
BACON,285.8,,,,,,,,,,,,,,,
BAKER,349.1,,,,,,,,,,,,,,,
BALDWIN,268.3,,,,,,,,,,,,,,,
BANKS,234.4,,,,,,,,,,,,,,,
BARROW,162.9,,,,,,,,,,,,,,,
BARTOW,469.5,,,,,,,,,,,,,,,
BEN HILL,253.9,,,,,,,,,,,,,,,
BERRIEN,457.9,,,,,,,,,,,,,,,
BIBB,254.9,,,,,,,,,,,,,,,
BLECKLEY,219.1,,,,,,,,,,,,,,,
BRANTLEY,447.2,,,,,,,,,,,,,,,
BROOKS,497.8,,,,,,,,,,,,,,,
BRYAN,454.5,,,,,,,,,,,,,,,
BULLOCH,688.6,,,,,,,,,,,,,,,
BURKE,835.0,,,,,,,,,,,,,,,
BUTTS,188.0,,,,,,,,,,,,,,,
CALHOUN,283.6,,,,,,,,,,,,,,,
CAMDEN,781.9,,,,,,,,,,,,,,,
CANDLER,248.9,,,,,,,,,,,,,,,
CARROLL,503.8,,,,,,,,,,,,,,,
CATOOSA,162.5,,,,,,,,,,,,,,,
CHARLTON,782.4,,,,,,,,,,,,,,,
CHATHAM,630.0,,,,,,,,,,,,,,,
CHATTAHOOCHEE,251.2,,,,,,,,,,,,,,,
CHATTOOGA,313.5,,,,,,,,,,,,,,,
CHEROKEE,434.3,,,,,,,,,,,,,,,
CLARKE,121.1,,,,,,,,,,,,,,,
CLAY,217.2,,,,,,,,,,,,,,,
CLAYTON,144.4,,,,,,,,,,,,,,,
CLINCH,824.0,,,,,,,,,,,,,,,
COBB,344.4,,,,,,,,,,,,,,,
COFFEE,602.7,,,,,,,,,,,,,,,
COLQUITT,556.6,,,,,,,,,,,,,,,
COLUMBIA,307.7,,,,,,,,,,,,,,,
COOK,233.2,,,,,,,,,,,,,,,
COWETA,446.0,,,,,,,,,,,,,,,
CRAWFORD,326.5,,,,,,,,,,,,,,,
CRISP,280.9,,,,,,,,,,,,,,,
DADE,174.3,,,,,,,,,,,,,,,
DAWSON,214.4,,,,,,,,,,,,,,,
DECATUR,623.2,,,,,,,,,,,,,,,
DEKALB,271.1,,,,,,,,,,,,,,,
DODGE,503.1,,,,,,,,,,,,,,,
DOOLY,397.3,,,,,,,,,,,,,,,
DOUGHERTY,334.6,,,,,,,,,,,,,,,
DOUGLAS,201.1,,,,,,,,,,,,,,,
EARLY,516.3,,,,,,,,,,,,,,,
ECHOLS,420.7,,,,,,,,,,,,,,,
EFFINGHAM,482.9,,,,,,,,,,,,,,,
ELBERT,374.2,,,,,,,,,,,,,,,
EMANUEL,690.2,,,,,,,,,,,,,,,
EVANS,186.9,,,,,,,,,,,,,,,
FANNIN,392.3,,,,,,,,,,,,,,,
FAYETTE,199.5,,,,,,,,,,,,,,,
FLOYD,518.5,,,,,,,,,,,,,,,
FORSYTH,247.2,,,,,,,,,,,,,,,
FRANKLIN,266.3,,,,,,,,,,,,,,,
FULTON,534.4,,,,,,,,,,,,,,,
GILMER,431.0,,,,,,,,,,,,,,,
GLASCOCK,144.5,,,,,,,,,,,,,,,
GLYNN,585.3,,,,,,,,,,,,,,,
GORDON,358.7,,,,,,,,,,,,,,,
GRADY,460.3,,,,,,,,,,,,,,,
GREENE,406.2,,,,,,,,,,,,,,,
GWINNETT,437.3,,,,,,,,,,,,,,,
HABERSHAM,279.1,,,,,,,,,,,,,,,
HALL,428.8,,,,,,,,,,,,,,,
HANCOCK,477.8,,,,,,,,,,,,,,,
HARALSON,283.2,,,,,,,,,,,,,,,
HARRIS,473.0,,,,,,,,,,,,,,,
HART,256.9,,,,,,,,,,,,,,,
HEARD,301.1,,,,,,,,,,,,,,,
HENRY,326.5,,,,,,,,,,,,,,,
HOUSTON,379.9,,,,,,,,,,,,,,,
IRWIN,362.8,,,,,,,,,,,,,,,
JACKSON,343.0,,,,,,,,,,,,,,,
JASPER,373.5,,,,,,,,,,,,,,,
JEFF DAVIS,335.4,,,,,,,,,,,,,,,
JEFFERSON,529.7,,,,,,,,,,,,,,,
