Obesity; Total (Total); Adults Aged 20+ Years; Crude Number; Georgia Counties; 2015
Data downloaded on 18-February-2025
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Peach County,Georgia,13225,4380.0,3074.0,6100.0
Pickens County,Georgia,13227,5107.0,3646.0,6565.0
Pierce County,Georgia,13229,3030.0,2123.0,4060.0
Pike County,Georgia,13231,2821.0,1895.0,3862.0
Polk County,Georgia,13233,6655.0,4487.0,8968.0
Pulaski County,Georgia,13235,1987.0,1396.0,2663.0
Putnam County,Georgia,13237,3378.0,2313.0,4635.0
Quitman County,Georgia,13239,380.0,271.0,507.0
Rabun County,Georgia,13241,2805.0,1910.0,3773.0
Randolph County,Georgia,13243,1150.0,836.0,1571.0
Richmond County,Georgia,13245,41978.0,33605.0,50646.0
Rockdale County,Georgia,13247,14808.0,10847.0,19539.0
Schley County,Georgia,13249,752.0,512.0,1021.0
Screven County,Georgia,13251,2363.0,1690.0,3148.0
Seminole County,Georgia,13253,1310.0,901.0,1778.0
Spalding County,Georgia,13255,10643.0,7457.0,14366.0
Stephens County,Georgia,13257,4231.0,2867.0,5866.0
Stewart County,Georgia,13259,1012.0,681.0,1414.0
Sumter County,Georgia,13261,4980.0,3360.0,6732.0
Talbot County,Georgia,13263,1228.0,850.0,1613.0
Taliaferro County,Georgia,13265,280.0,193.0,389.0
Tattnall County,Georgia,13267,4819.0,3613.0,6214.0
Taylor County,Georgia,13269,1311.0,905.0,1819.0
Telfair County,Georgia,13271,2681.0,1921.0,3689.0
Terrell County,Georgia,13273,1429.0,989.0,2004.0
Thomas County,Georgia,13275,7656.0,5441.0,10382.0
Tift County,Georgia,13277,6662.0,4838.0,8761.0
Toombs County,Georgia,13279,4481.0,3130.0,5913.0
Towns County,Georgia,13281,1735.0,1202.0,2308.0
Treutlen County,Georgia,13283,1107.0,824.0,1500.0
Troup County,Georgia,13285,11315.0,7991.0,15045.0
Turner County,Georgia,13287,1251.0,838.0,1700.0
Twiggs County,Georgia,13289,1497.0,1002.0,2077.0
Union County,Georgia,13291,3914.0,2736.0,5327.0
Upson County,Georgia,13293,4390.0,3108.0,5862.0
Walker County,Georgia,13295,12866.0,9753.0,16664.0
Walton County,Georgia,13297,15101.0,10892.0,19433.0
Ware County,Georgia,13299,5913.0,4202.0,8016.0
Warren County,Georgia,13301,905.0,634.0,1209.0
Washington County,Georgia,13303,3660.0,2629.0,4854.0
Wayne County,Georgia,13305,5159.0,3629.0,6648.0
Webster County,Georgia,13307,436.0,287.0,598.0
Wheeler County,Georgia,13309,1348.0,898.0,1887.0
White County,Georgia,13311,4690.0,3220.0,6471.0
Whitfield County,Georgia,13313,18702.0,14083.0,23464.0
Wilcox County,Georgia,13315,1435.0,972.0,1997.0
Wilkes County,Georgia,13317,1553.0,1071.0,2149.0
Wilkinson County,Georgia,13319,1420.0,945.0,2010.0
Worth County,Georgia,13321,3506.0,2542.0,4607.0
Appling County,Georgia,13001,3145.0,2244.0,4173.0
Atkinson County,Georgia,13003,1232.0,854.0,1669.0
Bacon County,Georgia,13005,1718.0,1213.0,2333.0
Baker County,Georgia,13007,525.0,359.0,715.0
Baldwin County,Georgia,13009,7764.0,5775.0,10063.0
Banks County,Georgia,13011,2984.0,2052.0,4141.0
Barrow County,Georgia,13013,12943.0,9213.0,17303.0
Bartow County,Georgia,13015,20023.0,15202.0,25144.0
Ben Hill County,Georgia,13017,3209.0,2348.0,4171.0
Berrien County,Georgia,13019,3102.0,2063.0,4305.0
Bibb County,Georgia,13021,32618.0,25749.0,40428.0
Bleckley County,Georgia,13023,2000.0,1400.0,2704.0
Brantley County,Georgia,13025,2939.0,2176.0,3950.0
Brooks County,Georgia,13027,2829.0,1992.0,3707.0
Bryan County,Georgia,13029,4874.0,3372.0,6752.0
Bulloch County,Georgia,13031,12842.0,9404.0,16701.0
