Obesity; Total (Total); Adults Aged 20+ Years; Crude Number; Georgia Counties; 2020
Data downloaded on 18-February-2025
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Peach County,Georgia,13225,4181.0,2598.0,6118.0
Pickens County,Georgia,13227,7036.0,4898.0,9326.0
Pierce County,Georgia,13229,3829.0,2466.0,5232.0
Pike County,Georgia,13231,3194.0,2011.0,4643.0
Polk County,Georgia,13233,10287.0,7693.0,13155.0
Pulaski County,Georgia,13235,2138.0,1353.0,2969.0
Putnam County,Georgia,13237,3727.0,2237.0,5428.0
Quitman County,Georgia,13239,314.0,181.0,485.0
Rabun County,Georgia,13241,2955.0,1800.0,4552.0
Randolph County,Georgia,13243,1093.0,656.0,1612.0
Richmond County,Georgia,13245,57425.0,49241.0,66311.0
Rockdale County,Georgia,13247,23000.0,16540.0,29193.0
Schley County,Georgia,13249,688.0,386.0,1115.0
Screven County,Georgia,13251,2892.0,1982.0,4050.0
Seminole County,Georgia,13253,1231.0,706.0,1910.0
Spalding County,Georgia,13255,15723.0,11245.0,20321.0
Stephens County,Georgia,13257,3640.0,2110.0,5456.0
Stewart County,Georgia,13259,956.0,505.0,1561.0
Sumter County,Georgia,13261,5670.0,3675.0,7614.0
Talbot County,Georgia,13263,949.0,531.0,1470.0
Taliaferro County,Georgia,13265,212.0,114.0,362.0
Tattnall County,Georgia,13267,4355.0,2865.0,6085.0
Taylor County,Georgia,13269,1277.0,771.0,1952.0
Telfair County,Georgia,13271,4345.0,3042.0,5561.0
Terrell County,Georgia,13273,1115.0,661.0,1648.0
Thomas County,Georgia,13275,8113.0,5766.0,10893.0
Tift County,Georgia,13277,9736.0,7277.0,12311.0
Toombs County,Georgia,13279,6194.0,4350.0,8286.0
Towns County,Georgia,13281,2038.0,1262.0,3048.0
Treutlen County,Georgia,13283,1148.0,729.0,1629.0
Troup County,Georgia,13285,19085.0,15191.0,22978.0
Turner County,Georgia,13287,1191.0,660.0,1780.0
Twiggs County,Georgia,13289,1084.0,598.0,1683.0
Union County,Georgia,13291,4644.0,2898.0,6558.0
Upson County,Georgia,13293,5118.0,3495.0,6856.0
Walker County,Georgia,13295,14114.0,10337.0,18163.0
Walton County,Georgia,13297,23752.0,18210.0,29522.0
Ware County,Georgia,13299,7294.0,5178.0,9671.0
Warren County,Georgia,13301,849.0,509.0,1294.0
Washington County,Georgia,13303,3038.0,1712.0,4441.0
Wayne County,Georgia,13305,5023.0,3414.0,7160.0
Webster County,Georgia,13307,362.0,205.0,583.0
Wheeler County,Georgia,13309,1288.0,724.0,2027.0
White County,Georgia,13311,5310.0,3502.0,7390.0
Whitfield County,Georgia,13313,26822.0,21715.0,31569.0
Wilcox County,Georgia,13315,1435.0,870.0,2166.0
Wilkes County,Georgia,13317,1544.0,903.0,2328.0
Wilkinson County,Georgia,13319,1267.0,757.0,1933.0
Worth County,Georgia,13321,3589.0,2225.0,5112.0
