Physical Inactivity; Total (Total); Adults Aged 20+ Years; Crude Number; Georgia Counties; 2015
Data downloaded on 18-February-2025
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Peach County,Georgia,13225,3902.0,2453.0,5726.0
Pickens County,Georgia,13227,5113.0,3319.0,6985.0
Pierce County,Georgia,13229,2742.0,1673.0,3996.0
Pike County,Georgia,13231,2366.0,1515.0,3377.0
Polk County,Georgia,13233,6378.0,4181.0,8919.0
Pulaski County,Georgia,13235,1855.0,1241.0,2579.0
Putnam County,Georgia,13237,2821.0,1817.0,4038.0
Quitman County,Georgia,13239,314.0,186.0,479.0
Rabun County,Georgia,13241,3053.0,2143.0,4231.0
Randolph County,Georgia,13243,1014.0,622.0,1487.0
Richmond County,Georgia,13245,39702.0,32325.0,47638.0
Rockdale County,Georgia,13247,15419.0,11001.0,20314.0
Schley County,Georgia,13249,593.0,352.0,894.0
Screven County,Georgia,13251,2036.0,1302.0,2980.0
Seminole County,Georgia,13253,1386.0,907.0,1996.0
Spalding County,Georgia,13255,9154.0,5889.0,12613.0
Stephens County,Georgia,13257,3653.0,2272.0,5353.0
Stewart County,Georgia,13259,784.0,486.0,1182.0
Sumter County,Georgia,13261,5387.0,3615.0,7220.0
Talbot County,Georgia,13263,1066.0,671.0,1544.0
Taliaferro County,Georgia,13265,220.0,127.0,333.0
Tattnall County,Georgia,13267,4995.0,3207.0,6831.0
Taylor County,Georgia,13269,1107.0,686.0,1694.0
Telfair County,Georgia,13271,2819.0,1845.0,4003.0
Terrell County,Georgia,13273,1125.0,686.0,1676.0
Thomas County,Georgia,13275,6443.0,4169.0,9192.0
Tift County,Georgia,13277,6565.0,4646.0,8896.0
Toombs County,Georgia,13279,3967.0,2651.0,5651.0
Towns County,Georgia,13281,1765.0,1105.0,2697.0
Treutlen County,Georgia,13283,1060.0,691.0,1488.0
Troup County,Georgia,13285,10612.0,6971.0,15020.0
Turner County,Georgia,13287,1012.0,634.0,1542.0
Twiggs County,Georgia,13289,1189.0,735.0,1789.0
Union County,Georgia,13291,3856.0,2535.0,5505.0
Upson County,Georgia,13293,3707.0,2178.0,5418.0
Walker County,Georgia,13295,13664.0,10326.0,17776.0
Walton County,Georgia,13297,13729.0,9643.0,18103.0
Ware County,Georgia,13299,5385.0,3735.0,7692.0
Warren County,Georgia,13301,729.0,448.0,1122.0
Washington County,Georgia,13303,2847.0,1737.0,4128.0
Wayne County,Georgia,13305,4275.0,2715.0,5935.0
Webster County,Georgia,13307,349.0,214.0,509.0
Wheeler County,Georgia,13309,1155.0,745.0,1647.0
White County,Georgia,13311,3806.0,2380.0,5380.0
Whitfield County,Georgia,13313,18457.0,13981.0,22910.0
Wilcox County,Georgia,13315,1268.0,775.0,1913.0
Wilkes County,Georgia,13317,1453.0,903.0,2163.0
