County,Number,Year
APPLING,3224,2020
APPLING,3249,2017
APPLING,3145,2015
APPLING,3317,2013
ATKINSON,1166,2020
ATKINSON,1307,2017
ATKINSON,1232,2015
ATKINSON,1337,2013
BACON,1789,2020
BACON,1712,2017
BACON,1718,2015
BACON,1815,2013
BAKER,408,2020
BAKER,521,2017
BAKER,525,2015
BAKER,570,2013
BALDWIN,11773,2020
BALDWIN,7809,2017
BALDWIN,7764,2015
BALDWIN,9763,2013
BANKS,2916,2020
BANKS,3530,2017
BANKS,2984,2015
BANKS,2812,2013
BARROW,18501,2020
BARROW,15941,2017
BARROW,12943,2015
BARROW,14428,2013
BARTOW,23781,2020
BARTOW,17769,2017
BARTOW,20023,2015
BARTOW,21203,2013
BEN HILL,3304,2020
BEN HILL,2981,2017
BEN HILL,3209,2015
BEN HILL,3557,2013
BERRIEN,3776,2020
BERRIEN,3643,2017
BERRIEN,3102,2015
BERRIEN,3875,2013
BIBB,41855,2020
BIBB,35076,2017
BIBB,32618,2015
BIBB,31762,2013
BLECKLEY,2476,2020
BLECKLEY,2250,2017
BLECKLEY,2000,2015
BLECKLEY,2098,2013
BRANTLEY,3980,2020
BRANTLEY,2986,2017
BRANTLEY,2939,2015
BRANTLEY,3446,2013
BROOKS,3105,2020
BROOKS,2714,2017
BROOKS,2829,2015
BROOKS,3014,2013
BRYAN,7800,2020
BRYAN,6431,2017
BRYAN,4874,2015
BRYAN,5060,2013
BULLOCH,19545,2020
BULLOCH,15165,2017
BULLOCH,12842,2015
BULLOCH,15382,2013
BURKE,4915,2020
BURKE,3622,2017
BURKE,3690,2015
BURKE,4049,2013
BUTTS,4594,2020
BUTTS,4107,2017
BUTTS,3616,2015
BUTTS,3915,2013
CALHOUN,860,2020
CALHOUN,1020,2017
CALHOUN,1078,2015
CALHOUN,1220,2013
CAMDEN,13909,2020
CAMDEN,11686,2017
CAMDEN,9576,2015
CAMDEN,10294,2013
CANDLER,1735,2020
CANDLER,1712,2017
CANDLER,1622,2015
CANDLER,1665,2013
CARROLL,28641,2020
CARROLL,28156,2017
CARROLL,23456,2015
CARROLL,19310,2013
CATOOSA,15896,2020
CATOOSA,12968,2017
CATOOSA,12545,2015
CATOOSA,10475,2013
CHARLTON,2875,2020
CHARLTON,2148,2017
CHARLTON,2193,2015
CHARLTON,2444,2013
CHATHAM,68197,2020
CHATHAM,64085,2017
CHATHAM,63254,2015
CHATHAM,55432,2013
CHATTAHOOCHEE,1350,2020
CHATTAHOOCHEE,1554,2017
CHATTAHOOCHEE,1649,2015
CHATTAHOOCHEE,1774,2013
CHATTOOGA,6231,2020
CHATTOOGA,3966,2017
