County,Number,Year
APPLING,3227,2013
APPLING,2517,2015
APPLING,2183,2017
APPLING,2928,2020
ATKINSON,1212,2013
ATKINSON,1069,2015
ATKINSON,906,2017
ATKINSON,898,2020
BACON,1731,2013
BACON,1386,2015
BACON,1247,2017
BACON,1488,2020
BAKER,511,2013
BAKER,404,2015
BAKER,405,2017
BAKER,409,2020
BALDWIN,7103,2013
BALDWIN,5563,2015
BALDWIN,6553,2017
BALDWIN,7784,2020
BANKS,2489,2013
BANKS,2491,2015
BANKS,2792,2017
BANKS,2644,2020
BARROW,13205,2013
BARROW,13954,2015
BARROW,11642,2017
BARROW,14560,2020
BARTOW,17369,2013
BARTOW,18831,2015
BARTOW,18522,2017
BARTOW,19370,2020
BEN HILL,2772,2013
BEN HILL,2626,2015
BEN HILL,2385,2017
BEN HILL,2604,2020
BERRIEN,3512,2013
BERRIEN,3203,2015
BERRIEN,2674,2017
BERRIEN,3089,2020
BIBB,27227,2013
BIBB,31348,2015
BIBB,30718,2017
BIBB,28202,2020
BLECKLEY,2254,2013
BLECKLEY,2047,2015
BLECKLEY,1729,2017
BLECKLEY,2198,2020
BRANTLEY,3143,2013
BRANTLEY,2898,2015
BRANTLEY,2064,2017
BRANTLEY,3745,2020
BROOKS,3031,2013
BROOKS,2823,2015
BROOKS,2309,2017
BROOKS,2622,2020
BRYAN,5210,2013
BRYAN,4917,2015
BRYAN,4220,2017
BRYAN,5141,2020
BULLOCH,12353,2013
BULLOCH,11623,2015
BULLOCH,12406,2017
BULLOCH,13906,2020
BURKE,3481,2013
BURKE,3233,2015
BURKE,2582,2017
BURKE,4049,2020
BUTTS,3852,2013
BUTTS,3413,2015
BUTTS,2885,2017
BUTTS,3520,2020
CALHOUN,1087,2013
CALHOUN,846,2015
CALHOUN,838,2017
CALHOUN,852,2020
CAMDEN,8098,2013
CAMDEN,8093,2015
CAMDEN,9922,2017
CAMDEN,9234,2020
CANDLER,1850,2013
CANDLER,1404,2015
CANDLER,1248,2017
CANDLER,1400,2020
CARROLL,19899,2013
CARROLL,21200,2015
CARROLL,23435,2017
CARROLL,22890,2020
CATOOSA,12157,2013
CATOOSA,11402,2015
CATOOSA,10544,2017
CATOOSA,14912,2020
CHARLTON,2584,2013
CHARLTON,1915,2015
CHARLTON,1585,2017
CHARLTON,2072,2020
CHATHAM,47772,2013
CHATHAM,48481,2015
CHATHAM,50269,2017
CHATHAM,52623,2020
CHATTAHOOCHEE,1448,2013
CHATTAHOOCHEE,1087,2015
CHATTAHOOCHEE,989,2017
CHATTAHOOCHEE,960,2020
CHATTOOGA,4218,2013
CHATTOOGA,3956,2015
CHATTOOGA,3585,2017
CHATTOOGA,4463,2020
CHEROKEE,33257,2013
CHEROKEE,33036,2015
CHEROKEE,41013,2017
CHEROKEE,39966,2020
CLARKE,19656,2013
CLARKE,18617,2015
CLARKE,20398,2017
